test_image_name,label_image_name
image-20210928-103742-55a72762.jpg,KCK304CVES03W.jpeg
image-20210928-103754-89c16e1e.jpg,KCK233TOKS56B.jpeg
image-20210928-103807-7573be37.jpg,KCK211DLPS26U.jpeg
image-20210928-103810-3cb15816.jpg,KCK231TLCS900.jpeg
image-20210928-103825-be7929ac.jpg,KDI774VEAS900.jpeg
IMG_6875.jpg,30MTS3UXR12A1.jpeg
IMG_6877.jpg,DSGTB1UXR10A0.jpeg
IMG_6878.jpg,DSGTA1UXR10A0.jpeg
IMG_6880.jpg,BOBYR1UXR42FR.jpeg
IMG_6881.jpg,DSGTS1UXR10A0.jpeg
IMG_6883.jpg,DSGTS2UXR20B0.jpeg
IMG_6884.jpg,DSGTS1UXR20B0.jpeg
IMG_6885.jpg,BOBYR1UXR10A0.jpeg
IMG_6886.jpg,DSGTR1UXR26A1.jpeg
IMG_6888.jpg,30MTSUMR41A0.jpeg
IMG_6889.jpg,EVDRAUQRB0B0.jpeg
IMG_6891.jpg,M9203SBAVM989.jpeg
IMG_6892.jpg,M9203IBAVM50P.jpeg
IMG_6893.jpg,M9203UTFQM928.jpeg
IMG_6894.jpg,M9204USJCM928.jpeg
IMG_6896.jpg,M0446CBAAM030.jpeg
