test_image_name,label_image_name
IMG_6949.jpg,KDP882EMRS900.jpeg
IMG_6950.jpg,KDI611SCNS52X.jpeg
IMG_6951.jpg,KCC201TFLS900.jpeg
IMG_6952.jpg,KDB717ACAS44W.jpeg
IMG_6953.jpg,KDI607VSOS900.jpeg
IMG_6954.jpg,KDI613VEAS900.jpeg
IMG_6955.jpg,KDI717VEAS900.jpeg
IMG_6956.jpg,KCI675SCRS52X.jpeg
IMG_6957.jpg,KCK304CVES03W.jpeg
IMG_6958.jpg,KCK177CVAS12X.jpeg
IMG_6959.jpg,KCK211DAMS17X.jpeg
IMG_6961.jpg,KCK318CMPS10W.jpeg
MicrosoftTeams-image_42.png,30MTSUR14A0.jpeg
MicrosoftTeams-image_44.png,DSGTR1UXR10A0.jpeg
MicrosoftTeams-image_45.png,DSGTS6UXR20B0.jpeg
MicrosoftTeams-image_46.png,SOSTELAIR1SZJ86.jpeg
MicrosoftTeams-image_48.png,SOSTELAIR1807YB.jpeg
MicrosoftTeams-image_50.png,DSGTS6UXR10A0.jpeg
MicrosoftTeams-image_53.png,S5652CCEHM81B.jpeg
MicrosoftTeams-image_54.png,S5652CCEHM900.jpeg
