test_image_name,label_image_name
IMG_6898.jpg,M0446ILLOM50P.jpeg
IMG_6899.jpg,M1296ZJTKM932.jpeg
IMG_6901.jpg,M0565ORHMM918.jpeg
IMG_6902.jpg,M9203UMOSM02E.jpeg
IMG_6906.jpg,M0500OAAUXM900.jpeg
IMG_6908.jpg,M9241UGCOM030.jpeg
IMG_6909.jpg,M9242BWDEM090.jpeg
IMG_6912.jpg,CD040110M0020000.jpeg
IMG_6913.jpg,CD040110A0010000.jpeg
IMG_6914.jpg,CD040110M0030000.jpeg
IMG_6918.jpg,None
IMG_6919.jpg,M0538BCALM030.jpeg
IMG_6921.jpg,M0566ONGEM900.jpeg
IMG_6924.jpg,None
IMG_6930.jpg,KCK299CNFS900.jpeg
IMG_6934.jpg,KCK325VEAS19O.jpeg
IMG_6940.jpg,KCQ266VEAS33H.jpeg
IMG_6944.jpg,KCQ266VEAS900.jpeg
IMG_6947.jpg,KDB578TJES36W.jpeg
IMG_6948.jpg,KDP916LNYS27G.jpeg
